artist,album,name,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Kendrick Lamar,GNX,"gnx (feat. hitta j3, youngthreat, peysoh)",82,0.967,0.52,0.366,0.986,0.114,-20.259,0.0444,120.025,0.126
Kendrick Lamar,DAMN.,HUMBLE.,82,0.858,0.246,0.0775,0.869,0.183,-19.763,0.0481,76.049,0.2
Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are,81,0.946,0.32,0.267,0,0.0984,-10.545,0.0379,125.269,0.186
Bruno Mars,Unorthodox Jukebox,Treasure,81,0.846,0.798,0.248,0.863,0.327,-23.317,0.0482,120.004,0.0399
Kendrick Lamar,DAMN.,PRIDE.,81,0.48,0.665,0.963,0.587,0.113,-3.3,0.143,167.967,0.809
Bruno Mars,Doo-Wops & Hooligans,Grenade,80,0.91,0.159,0.322,0.901,0.0801,-18.524,0.0321,89.775,0.0646
Micheal Jackson,Thriller,Billie Jean,80,0.0198,0.537,0.831,0.771,0.396,-11.606,0.0756,160.016,0.325
Kendrick Lamar,DAMN.,LOVE. FEAT. ZACARI.,80,0.321,0.581,0.657,0,0.387,-6.595,0.0472,66.598,0.449
Kendrick Lamar,To Pimp A Butterfly,Alright,79,0.0000778,0.512,0.969,0.935,0.173,-3.644,0.0397,142.025,0.245
Alan Walker,Different World,Faded,79,0.68,0.849,0.435,0,0.0554,-10.173,0.0347,100.011,0.964
Bruno Mars,24K Magic,24K Magic,79,0.653,0.192,0.264,0.00000487,0.489,-14.477,0.0365,134.41,0.0795
Bruno Mars,24K Magic,Versace on the Floor,78,0.464,0.718,0.709,0.895,0.118,-7.915,0.0287,106.015,0.795
Bruno Mars,Doo-Wops & Hooligans,Marry You,78,0.00363,0.606,0.853,0.0062,0.0432,-7.189,0.0364,124.516,0.695
Marshmello,Sugar Papi,El Merengue,78,0.000216,0.148,0.328,0.817,0.174,-16.702,0.0415,93.334,0.0737
Micheal Jackson,Off the Wall,Rock with You - Single Version,78,0.0466,0.523,0.604,0.0382,0.314,-17.349,0.0991,181.946,0.544
Micheal Jackson,Thriller,Beat It,78,0.578,0.61,0.427,0.00000805,0.206,-12.13,0.0428,177.391,0.717
Kendrick Lamar,"good kid, m.A.A.d city",Money Trees,77,0.814,0.249,0.365,0,0.118,-12.941,0.139,81.71,0.382
Kendrick Lamar,DAMN.,DNA.,77,0.0422,0.188,0.203,0.957,0.0838,-20.881,0.0369,147.991,0.0361
Bruno Mars,Doo-Wops & Hooligans,The Lazy Song,76,0.142,0.694,0.843,0.000177,0.0349,-4.527,0.205,175.984,0.526
Micheal Jackson,XSCAPE,Chicago,76,0.308,0.748,0.815,0,0.171,-1.396,0.122,99.978,0.897
Kendrick Lamar,DAMN.,LOYALTY. FEAT. RIHANNA.,75,0.287,0.776,0.82,0.000385,0.242,-4.405,0.0415,90.007,0.773
Bruno Mars,Doo-Wops & Hooligans,Talking to the Moon,75,0.959,0.332,0.234,0.0000488,0.102,-11.148,0.0312,135.294,0.197
Kendrick Lamar,Mr. Morale & The Big Steppers,Rich Spirit,74,0.0265,0.658,0.535,0,0.2,-8.983,0.0573,110.684,0.419
Micheal Jackson,Bad (Remastered),Smooth Criminal - 2012 Remaster,74,0.75,0.652,0.274,0.959,0.0965,-14.469,0.103,74.465,0.248
Kendrick Lamar,Mr. Morale & The Big Steppers,Count Me Out,74,0.601,0.65,0.508,0,0.0828,-7.993,0.0339,100.149,0.222
Kendrick Lamar,Mr. Morale & The Big Steppers,N95,74,0.0309,0.587,0.861,0,0.157,-4.231,0.238,89.953,0.757
Kendrick Lamar,Mr. Morale & The Big Steppers,United In Grief,73,0.892,0.0713,0.0882,0.933,0.0908,-20.621,0.0371,75.277,0.0379
Bruno Mars,Doo-Wops & Hooligans,Runaway Baby,72,0.265,0.476,0.58,0,0.0842,-4.598,0.0304,144.953,0.455
Micheal Jackson,Thriller 25 Super Deluxe Edition,Thriller,72,0.00188,0.662,0.847,0.75,0.0626,-11.758,0.0391,129.996,0.118
Kendrick Lamar,To Pimp A Butterfly,King Kunta,72,0.113,0.691,0.828,0,0.358,-3.909,0.0749,75.519,0.678
Kendrick Lamar,Mr. Morale & The Big Steppers,Die Hard,72,0.00442,0.511,0.683,0.00516,0.089,-6.484,0.0427,123.85,0.254
Alan Walker,Different World,Alone,72,0.0353,0.963,0.899,0.000647,0.0758,-4.353,0.0822,120.937,0.92
Micheal Jackson,Dangerous,Remember the Time,72,0.981,0.111,0.0325,0.957,0.0858,-27.261,0.0415,73.721,0.0341
Micheal Jackson,Off the Wall,Don't Stop 'Til You Get Enough,72,0.0148,0.72,0.839,0.000676,0.397,-8.639,0.0985,84.987,0.691
Kendrick Lamar,DAMN.,DUCKWORTH.,72,0.00826,0.58,0.865,0.000264,0.069,-4.966,0.0415,123.961,0.497
Alan Walker,World Of Walker,"Alone, Pt. II",71,0.153,0.634,0.478,0.765,0.0675,-15.639,0.0578,80.025,0.403
Kendrick Lamar,Section.80,A.D.H.D,71,0.204,0.748,0.705,0,0.246,-4.547,0.485,189.891,0.483
Micheal Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",They Don't Care About Us,71,0.21,0.753,0.895,0,0.0696,-3.268,0.208,138.043,0.864
Anirudh Ravichander,Jawan,Chaleya,71,0.53,0.287,0.31,0.688,0.11,-13.509,0.0304,140.315,0.0376
Bruno Mars,24K Magic,Finesse,70,0.000437,0.918,0.723,0.141,0.124,-4.099,0.0653,126.046,0.393
Bruno Mars,24K Magic,Too Good to Say Goodbye,70,0.962,0.293,0.0348,0.000212,0.105,-23.92,0.0414,130.959,0.101
Kendrick Lamar,To Pimp A Butterfly,Wesley's Theory,70,0.73,0.57,0.575,0.949,0.156,-11.821,0.0421,99.997,0.269
Alan Walker,Walkerworld,"Better Off (Alone, Pt. III)",70,0.213,0.402,0.475,0.0000537,0.749,-18.092,0.694,82.31,0.252
Alan Walker,Different World,Darkside,70,0.117,0.732,0.769,0,0.0359,-1.828,0.0634,82.047,0.835
Kendrick Lamar,Mr. Morale & The Big Steppers,Father Time (feat. Sampha),69,0.745,0.52,0.375,0.0122,0.429,-13.409,0.358,127.544,0.589
Micheal Jackson,Invincible,Heaven Can Wait,69,0.0227,0.721,0.946,0,0.355,-4.006,0.198,127.155,0.845
Micheal Jackson,XSCAPE,Love Never Felt So Good,69,0.0552,0.17,0.253,0.775,0.122,-19.422,0.038,115.775,0.0595
Bruno Mars,An Evening With Silk Sonic,Leave The Door Open,69,0.0355,0.515,0.738,0.000373,0.287,-6.391,0.215,135.772,0.541
Alan Walker,Different World,Lily,69,0.784,0.237,0.218,0.831,0.0742,-18.958,0.0381,136.447,0.0345
Micheal Jackson,Thriller,P.Y.T. (Pretty Young Thing),69,0.548,0.741,0.52,0.773,0.298,-11.821,0.057,100.011,0.113
Kendrick Lamar,DAMN.,ELEMENT.,69,0.937,0.24,0.106,0.938,0.0983,-24.357,0.0369,64.002,0.154
Bruno Mars,24K Magic,Chunky,69,0.447,0.482,0.632,0,0.08,-5.633,0.196,169.989,0.216
Alan Walker,World Of Walker,On My Way,68,0.228,0.837,0.903,0.0000357,0.35,-6.085,0.159,120.021,0.682
Micheal Jackson,Bad 25th Anniversary,The Way You Make Me Feel - 2012 Remaster,68,0.00134,0.684,0.888,0.000696,0.0736,-3.349,0.0869,142.007,0.109
Bruno Mars,Doo-Wops & Hooligans,Count on Me,68,0.91,0.159,0.322,0.901,0.0801,-18.524,0.0321,89.775,0.0646
Kendrick Lamar,DAMN.,XXX. FEAT. U2.,68,0.892,0.264,0.167,0.873,0.165,-18.444,0.0349,80.104,0.0321
Kendrick Lamar,Mr. Morale & The Big Steppers,Silent Hill,67,0.432,0.571,0.901,0,0.279,-6.571,0.0758,99.929,0.615
Micheal Jackson,Dangerous,Black or White,67,0.0823,0.494,0.264,0.569,0.122,-14.601,0.0314,107.972,0.146
Bruno Mars,Unorthodox Jukebox,If I Knew,67,0.476,0.411,0.594,0,0.592,-7.74,0.14,92.35,0.453
Micheal Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",You Are Not Alone,67,0.457,0.503,0.555,0.00000586,0.703,-12.783,0.45,89.642,0.522
Micheal Jackson,Dangerous,Heal the World,67,0.0372,0.521,0.716,0,0.148,-4.999,0.0364,77.562,0.12
Micheal Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Earth Song,66,0.69,0.15,0.388,0.907,0.112,-13.523,0.0377,145.601,0.0586
Bruno Mars,Unorthodox Jukebox,Young Girls,66,0.391,0.299,0.452,0.000183,0.0831,-11.685,0.0334,78.865,0.659
Micheal Jackson,Thriller,Human Nature,66,0.12,0.6,0.857,0.00849,0.115,-4.19,0.0284,164.058,0.827
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Pray For Me (with Kendrick Lamar),66,0.308,0.88,0.859,0.0000556,0.0982,-3.405,0.0404,127.224,0.952
Kendrick Lamar,DAMN.,FEEL.,66,0.00865,0.864,0.381,0.444,0.551,-20.75,0.0982,128.076,0.727
Micheal Jackson,Invincible,You Rock My World,66,0.0507,0.617,0.771,0,0.204,-5.813,0.252,133.776,0.146
Kendrick Lamar,untitled unmastered.,untitled 08 | 09.06.2014.,66,0.0229,0.642,0.76,0.00318,0.125,-6.081,0.0483,180.099,0.669
Kendrick Lamar,To Pimp A Butterfly,These Walls,65,0.0593,0.595,0.472,0.149,0.354,-20.759,0.0692,166.59,0.421
Kendrick Lamar,DAMN.,YAH.,65,0.885,0.769,0.433,0.913,0.0944,-15.271,0.155,130.005,0.0379
Kendrick Lamar,DAMN.,FEAR.,65,0.017,0.732,0.956,0.00000699,0.357,-2.775,0.0708,145.103,0.375
Bruno Mars,An Evening With Silk Sonic,After Last Night (with Thundercat & Bootsy Collins),65,0.00069,0.641,0.782,0.652,0.0767,-6.228,0.0456,93.006,0.376
Alan Walker,World Of Walker,Not You,65,0.605,0.676,0.876,0,0.296,-5.262,0.0786,75.009,0.961
Micheal Jackson,Bad 25th Anniversary,Bad - 2012 Remaster,65,0.000282,0.908,0.621,0.0000539,0.0958,-6.638,0.102,150.011,0.421
Kendrick Lamar,DAMN.,LUST.,64,0.336,0.517,0.828,0.0000541,0.0694,-6.006,0.454,69.571,0.781
Kendrick Lamar,"good kid, m.A.A.d city","Bitch, Don’t Kill My Vibe",64,0.894,0.418,0.0745,0.933,0.091,-18.737,0.0394,64.971,0.137
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",m.A.A.d city,64,0.994,0.488,0.219,0.907,0.296,-25.921,0.041,100.076,0.677
Micheal Jackson,Thriller,The Girl Is Mine (with Paul McCartney),64,0.25,0.85,0.524,0.00000246,0.114,-9.375,0.204,120.004,0.686
Bruno Mars,24K Magic,Straight up & Down,64,0.0805,0.755,0.421,0.0109,0.101,-15.721,0.286,92.968,0.57
Kendrick Lamar,Mr. Morale & The Big Steppers,Savior,64,0.121,0.736,0.743,0,0.312,-6.218,0.128,126.029,0.611
Micheal Jackson,Bad 25th Anniversary,Man in the Mirror - 2012 Remaster,64,0.44,0.548,0.882,0,0.291,-5.195,0.0432,81.95,0.581
Kendrick Lamar,Section.80,Chapter Six,64,0.395,0.582,0.714,0,0.189,-10.353,0.18,71.937,0.0577
Kendrick Lamar,"good kid, m.A.A.d city",Poetic Justice,64,0.27,0.695,0.584,0.0000166,0.0876,-8.505,0.0613,180.05,0.886
Anirudh Ravichander,Vettaiyan (Original Motion Picture Soundtrack),Manasilaayo,64,0.925,0.539,0.262,0.537,0.0842,-19.089,0.0369,120.003,0.699
Kendrick Lamar,Section.80,HiiiPower,64,0.987,0.719,0.244,0.0000037,0.462,-17.839,0.919,107.017,0.588
Marshmello,Sugar Papi,Sou Musa do Verão,64,0.24,0.785,0.892,0.0000115,0.333,-5.743,0.246,120.071,0.581
Bruno Mars,Unorthodox Jukebox,Gorilla,63,0.00594,0.731,0.614,0.686,0.106,-10.177,0.0463,129.343,0.548
Yuvan Shankar Raja,The Greatest Of All Time Ost,The Real Og,63,0.0000583,0.661,0.596,0.886,0.0942,-14.922,0.0465,119.947,0.126
Kendrick Lamar,Section.80,Hol' Up,63,0.522,0.134,0.144,0.938,0.0988,-12.99,0.0354,99.571,0.0337
Bruno Mars,An Evening With Silk Sonic,Smokin Out The Window,63,0.981,0.756,0.308,0.00000374,0.321,-13.703,0.931,97.155,0.75
Bruno Mars,24K Magic,Perm,63,0.399,0.628,0.868,0.00126,0.353,-5.463,0.0634,108.857,0.283
Anirudh Ravichander,Rockstar Anirudh Special,"Yennai Maatrum Kadhale (From ""Naanum Rowdy Dhaan"")",63,0.472,0.375,0.27,0.27,0.481,-15.536,0.0451,105.191,0.038
Alan Walker,Different World,All Falls Down (feat. Juliander),63,0.152,0.337,0.329,0.85,0.128,-9.724,0.0496,119.375,0.323
Micheal Jackson,Off the Wall,Off the Wall,63,0.604,0.588,0.479,0.0000072,0.527,-7.039,0.281,150.414,0.434
Kendrick Lamar,DAMN.,BLOOD.,62,0.00442,0.511,0.683,0.00516,0.089,-6.484,0.0427,123.85,0.254
Micheal Jackson,Thriller,Baby Be Mine,62,0.39,0.658,0.648,0,0.127,-3.074,0.106,81.007,0.409
Kendrick Lamar,To Pimp A Butterfly,How Much A Dollar Cost,62,0.91,0.159,0.322,0.901,0.0801,-18.524,0.0321,89.775,0.0646
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",The Recipe - Bonus Track,62,0.473,0.235,0.222,0.902,0.0959,-16.102,0.0414,60.718,0.0295
Bruno Mars,Unorthodox Jukebox,Show Me,62,0.409,0.539,0.777,0.0000062,0.0998,-10.487,0.0429,101.761,0.74
Kendrick Lamar,To Pimp A Butterfly,i,62,0.437,0.425,0.595,0.000826,0.0958,-8.296,0.0533,109.91,0.0892
Micheal Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Man in the Mirror,62,0.0291,0.522,0.697,0,0.319,-5.288,0.103,169.775,0.235
Kendrick Lamar,Mr. Morale & The Big Steppers,Mirror,62,0.687,0.681,0.678,0.0000753,0.101,-6.578,0.0337,99.999,0.111
Anirudh Ravichander,Jailer (Original Motion Picture Soundtrack),Hukum - Thalaivar Alappara,62,0.00534,0.805,0.743,0.0000284,0.0901,-4.895,0.0533,114.074,0.822
Kendrick Lamar,Mr. Morale & The Big Steppers,Mr. Morale,62,0.0375,0.645,0.815,0.918,0.0667,-3.868,0.197,153.994,0.598
Kendrick Lamar,Mr. Morale & The Big Steppers,Purple Hearts,62,0.0562,0.73,0.591,0,0.0939,-4.337,0.187,180.048,0.635
Kendrick Lamar,Section.80,Rigamortus,61,0.00798,0.584,0.649,0.913,0.119,-9.054,0.0487,120.032,0.167
Bruno Mars,24K Magic,Calling All My Lovelies,61,0.0935,0.207,0.988,0.814,0.0518,-4.366,0.377,77.017,0.0399
Kendrick Lamar,Mr. Morale & The Big Steppers,We Cry Together,61,0.13,0.378,0.614,0,0.309,-3.809,0.0761,175.937,0.451
Micheal Jackson,Michael,Hold My Hand (with Akon),61,0.0000736,0.553,0.713,0.917,0.176,-5.179,0.0309,110.049,0.456
Kendrick Lamar,untitled unmastered.,untitled 02 | 06.23.2014.,61,0.00975,0.601,0.683,0.0624,0.0838,-17.396,0.0889,174.96,0.521
Anirudh Ravichander,Vettaiyan (Original Motion Picture Soundtrack),Hunter Vantaar,61,0.0345,0.28,0.344,0.534,0.341,-11.479,0.0531,119.397,0.23
Micheal Jackson,Thriller,Wanna Be Startin' Somethin',61,0.249,0.761,0.501,0,0.136,-10.759,0.459,81.998,0.502
Bruno Mars,An Evening With Silk Sonic,Silk Sonic Intro,61,0.00756,0.783,0.627,0,0.0606,-8.521,0.102,100.025,0.48
Kendrick Lamar,"good kid, m.A.A.d city",Swimming Pools (Drank) - Extended Version,61,0.16,0.277,0.315,0.825,0.123,-16.165,0.0548,181.322,0.0988
Kendrick Lamar,To Pimp A Butterfly,The Blacker The Berry,61,0.481,0.558,0.287,0.00113,0.163,-8.565,0.03,129.842,0.251
Kendrick Lamar,Mr. Morale & The Big Steppers,Worldwide Steppers,60,0.751,0.179,0.327,0.866,0.194,-12.161,0.0349,85.486,0.402
Kendrick Lamar,To Pimp A Butterfly,Institutionalized,60,0.629,0.474,0.305,0.0000437,0.181,-10.55,0.0405,80.077,0.355
Kendrick Lamar,DAMN.,GOD.,60,0.0866,0.814,0.877,0.0000762,0.277,-7.134,0.153,111.179,0.579
Alan Walker,World Of Walker,Man On The Moon,60,0.000121,0.556,0.889,0.00024,0.325,-4.046,0.0498,142.015,0.185
Alan Walker,Different World,Lost Control,60,0.00465,0.262,0.375,0.581,0.233,-10.896,0.0475,83.03,0.0333
Anirudh Ravichander,Rockstar Anirudh Special,Thangamey,60,0.0236,0.12,0.567,0.847,0.36,-11.186,0.0564,87.078,0.0369
Kendrick Lamar,Mr. Morale & The Big Steppers,The Heart Part 5,60,0.00473,0.86,0.918,0.0000122,0.0575,-5.515,0.0685,123.336,0.572
Kendrick Lamar,To Pimp A Butterfly,u,60,0.894,0.249,0.309,0.838,0.116,-15.125,0.0354,121.116,0.039
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)","Sing About Me, I'm Dying Of Thirst",60,0.916,0.274,0.276,0.0000382,0.275,-7.244,0.0299,84.499,0.104
Kendrick Lamar,Section.80,Blow My High (Members Only),59,0.37,0.0724,0.165,0.924,0.13,-24.931,0.0392,78.225,0.0396
Hip Hop Tamizha,Kaththi (Original Motion Picture Soundtrack),Pakkam Vanthu,59,0.695,0.741,0.725,0.916,0.078,-12.13,0.0635,133.396,0.933
Hip Hop Tamizha,Kaththi (Original Motion Picture Soundtrack),Aathi,59,0.18,0.497,0.572,0.594,0.134,-10.695,0.112,179.152,0.0726
Vijay Antony,Ninaithale Inikkum (Original Motion Picture Soundtrack),Pia.. Pia..,59,0.0187,0.536,0.681,0.754,0.155,-8.008,0.125,159.962,0.301
Bruno Mars,An Evening With Silk Sonic,777,59,0.184,0.862,0.886,0.00000133,0.0565,-5.423,0.123,124.031,0.896
Bruno Mars,An Evening With Silk Sonic,Skate,59,0.58,0.577,0.54,0.0000632,0.167,-4.867,0.0457,80,0.122
Micheal Jackson,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,Blood on the Dance Floor,59,0.179,0.778,0.392,0.744,0.0902,-21.04,0.101,141.524,0.907
Alan Walker,Different World,Sing Me to Sleep,59,0.00486,0.233,0.528,0.866,0.0988,-11.085,0.0581,77.722,0.232
Micheal Jackson,Dangerous,Give In to Me,59,0.993,0.362,0.0239,0.857,0.0782,-28.897,0.032,69.22,0.0308
Kendrick Lamar,To Pimp A Butterfly,Hood Politics,59,0.664,0.501,0.197,0.93,0.103,-19.125,0.0419,140.246,0.601
Kendrick Lamar,To Pimp A Butterfly,You Ain't Gotta Lie (Momma Said),59,0.16,0.716,0.38,0,0.103,-10.297,0.0506,119.962,0.47
Micheal Jackson,Bad 25th Anniversary,Liberian Girl - 2012 Remastered Version,59,0.0392,0.662,0.705,0.00000238,0.105,-6.56,0.0399,159.996,0.865
Micheal Jackson,Bad 25th Anniversary,I Just Can't Stop Loving You (feat. Siedah Garrett) - 2012 Remaster,59,0.0849,0.9,0.784,0,0.169,-6.045,0.292,94.016,0.794
Kendrick Lamar,Mr. Morale & The Big Steppers,Crown,58,0.223,0.105,0.488,0.687,0.127,-12.701,0.0386,82.261,0.0738
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Paramedic!,58,0.457,0.927,0.419,0.0529,0.188,-7.704,0.064,106.034,0.703
Kendrick Lamar,To Pimp A Butterfly,For Free? - Interlude,58,0.136,0.233,0.184,0.908,0.0868,-14.798,0.0349,75.895,0.135
Kendrick Lamar,Black Panther The Album Music From And Inspired By,Big Shot (with Travis Scott),58,0.073,0.713,0.867,0,0.109,-5.671,0.0951,102.031,0.558
Hip Hop Tamizha,Kaththi (Original Motion Picture Soundtrack),Selfie Pulla,58,0.397,0.729,0.673,0.00000482,0.313,-6.378,0.0929,80.003,0.795
Hip Hop Tamizha,Natpe Thunai (Original Motion Picture Soundtrack),Single Pasanga,58,0.474,0.697,0.875,0.00000168,0.125,-1.842,0.0475,96.013,0.808
Bruno Mars,Unorthodox Jukebox,Moonshine,58,0.0815,0.341,0.907,0,0.383,-4.425,0.419,170.757,0.224
Bruno Mars,Unorthodox Jukebox,Natalie,58,0.0681,0.953,0.441,0.000115,0.0635,-8.463,0.0434,114.979,0.52
Bruno Mars,An Evening With Silk Sonic,Fly As Me,58,0.116,0.542,0.811,0.0167,0.428,-11.02,0.0711,176.117,0.823
Kendrick Lamar,Black Panther The Album Music From And Inspired By,X (with 2 Chainz & Saudi),58,0.0536,0.552,0.731,0,0.258,-6.873,0.615,174.516,0.632
Kendrick Lamar,Mr. Morale & The Big Steppers,Mother I Sober (feat. Beth Gibbons of Portishead),58,0.883,0.147,0.0444,0.913,0.119,-23.37,0.0355,77.729,0.0381
Micheal Jackson,Dangerous,Jam,58,0.492,0.54,0.491,0,0.155,-5.749,0.0327,139.717,0.0991
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Now Or Never - Bonus Track,58,0.0784,0.608,0.756,0,0.187,-2.675,0.176,176.086,0.55
Alan Walker,Walkerworld,Hero,58,0.123,0.701,0.837,0.0000208,0.0884,-5.614,0.0384,117.448,0.636
Micheal Jackson,Invincible,Butterflies,58,0.656,0.55,0.449,0.000048,0.0866,-13.645,0.103,121.164,0.222
Micheal Jackson,Dangerous,Who Is It,58,0.52,0.808,0.812,0.0000791,0.134,-5.012,0.0381,100.331,0.269
Micheal Jackson,Thriller,The Lady in My Life,58,0.00318,0.492,0.848,0.000139,0.0665,-6.718,0.0594,180.015,0.49
Kendrick Lamar,To Pimp A Butterfly,Complexion (A Zulu Love),58,0.116,0.471,0.839,0,0.658,-6.852,0.379,115.79,0.639
Kendrick Lamar,To Pimp A Butterfly,Momma,58,0.955,0.447,0.487,0.961,0.0792,-16.88,0.087,119.901,0.0669
A R Rahman,Ponniyin Selvan Part - 2 (Original Motion Picture Soundtrack),"Aga Naga (From ""Ponniyin Selvan Part-2"")",58,0.0231,0.577,0.875,0.00000469,0.111,-2.897,0.0681,164.009,0.411
Anirudh Ravichander,Leo (Original Motion Picture Soundtrack),Lokiverse 2.0,58,0.212,0.549,0.695,0.918,0.106,-8.798,0.102,160.001,0.0891
Kendrick Lamar,"good kid, m.A.A.d city",Backseat Freestyle,57,0.0298,0.594,0.732,0.0000133,0.213,-7.073,0.0299,126.039,0.0964
Micheal Jackson,XSCAPE,A Place With No Name,57,0.908,0.145,0.234,0.94,0.182,-16.04,0.0382,158.441,0.039
Kendrick Lamar,Black Panther The Album Music From And Inspired By,"King's Dead (with Kendrick Lamar, Future & James Blake)",57,0.711,0.695,0.326,0,0.113,-8.167,0.0498,144.218,0.544
Kendrick Lamar,untitled unmastered.,untitled 05 | 09.21.2014.,57,0.176,0.48,0.692,0.00011,0.221,-5.324,0.0582,85.343,0.465
Anirudh Ravichander,Vettaiyan (Original Motion Picture Soundtrack),Clean Shot,57,0.00357,0.616,0.679,0,0.0693,-6.307,0.0648,122.276,0.393
Bruno Mars,Doo-Wops & Hooligans,Liquor Store Blues (feat. Damian Marley),57,0.627,0.639,0.631,0.719,0.0964,-13.542,0.0813,147,0.0857
Kendrick Lamar,Mr. Morale & The Big Steppers,Savior - Interlude,57,0.446,0.498,0.66,0.00000418,0.139,-7.309,0.0497,96.092,0.48
Kendrick Lamar,Black Panther The Album Music From And Inspired By,The Ways (with Swae Lee),57,0.419,0.551,0.591,0.0000229,0.112,-9.924,0.0444,79.644,0.571
Vijay Antony,Kadhalil Vizhundhen,Naakka Mukka,57,0.143,0.601,0.582,0.0000978,0.183,-5.725,0.264,148.776,0.315
Hip Hop Tamizha,Natpe Thunai (Original Motion Picture Soundtrack),Vengamavan,57,0.933,0.246,0.0837,0.905,0.14,-16.912,0.0348,70.086,0.0331
Bruno Mars,An Evening With Silk Sonic,Love's Train,57,0.72,0.17,0.287,0.991,0.115,-19.944,0.0403,121.942,0.217
Kendrick Lamar,To Pimp A Butterfly,Mortal Man,57,0.826,0.209,0.477,0.687,0.082,-15.428,0.0527,165.78,0.0608
Micheal Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Scream,57,0.765,0.381,0.394,0,0.21,-13.734,0.0606,81.072,0.516
Kendrick Lamar,untitled unmastered.,untitled 06 | 06.30.2014.,57,0.341,0.667,0.508,0,0.644,-10.337,0.451,89.436,0.093
Micheal Jackson,Off the Wall,Workin' Day and Night,57,0.0647,0.714,0.67,0.854,0.0912,-11.459,0.0496,136.049,0.722
Marshmello,Shockwave,Shockwave,57,0.0000245,0.404,0.763,0.491,0.142,-3.476,0.0318,82.028,0.157
Anirudh Ravichander,Leo (Original Motion Picture Soundtrack),Naa Ready,57,0.00589,0.884,0.657,0,0.154,-4.569,0.0977,107.059,0.489
Kendrick Lamar,Section.80,Poe Mans Dreams (His Vice) (feat. GLC),57,0.204,0.748,0.705,0,0.246,-4.547,0.485,189.891,0.483
Anirudh Ravichander,Jailer (Original Motion Picture Soundtrack),Rathamaarey,57,0.619,0.669,0.914,0.0000618,0.951,-15.762,0.938,148.866,0.0554
Kendrick Lamar,Mr. Morale & The Big Steppers,Auntie Diaries,57,0.419,0.552,0.446,0.113,0.221,-10.637,0.029,108.948,0.884
Alan Walker,Different World,Diamond Heart,57,0.0164,0.712,0.797,0.000547,0.166,-7,0.0347,102.022,0.195
Micheal Jackson,Ben,Ben - Single Version,57,0.225,0.599,0.461,0.000352,0.107,-11.723,0.0244,101.105,0.744
